"sub","partner","day","meetAgain","meetAgain_9points","ShortTerm","LongTerm","Attractiveness","gender","grooveLevel","gRating","eRating","fRating","gcOUT","gcIN","ccOUT","ccIN"
"M13","F12","D1",1,7,4,5,7,"M","H",6.42105263157895,5.05263157894737,4.52631578947368,0.0143112106663681,0.0219608996338039,0.260308406230246,0.260308406230246
"M14","F14","D1",1,7,6,7,6,"M","H",6.26315789473684,5.31578947368421,5.10526315789474,0.0209039565355713,0.0193131261137456,0.418010291215341,0.418010291215341
"M14","F15","D1",1,8,8,7,7,"M","L",4.10526315789474,5.78947368421053,5.73684210526316,0.0180468057279564,0.0159380730251817,0.616719964862033,0.617412980530474
"M14","F01","D1",1,7,8,7,7,"M","H",7.8421052631579,7.15789473684211,6.15789473684211,0.0106984376494434,0.00833462475966318,-0.0870486425190828,-0.083373288541204
"M14","F02","D1",1,7,8,7,7,"M","L",4.26315789473684,5.78947368421053,5.89473684210526,0.0120171577713735,0.00858237603664147,0.100852194301529,0.101460217324386
"M14","F03","D1",1,8,8,8,8,"M","H",7.78947368421053,7.52631578947368,8.42105263157895,0.00869702256955796,0.0197053683665711,0.110918874657302,0.201832066011578
"M14","F04","D1",0,4,5,4,6,"M","L",5.05263157894737,7.10526315789474,8.10526315789474,0.0125165511903718,0.0215987209666304,-0.187162450100464,-0.137201956473243
"M14","F06","D1",0,4,5,5,6,"M","L",4.94736842105263,7.52631578947368,9.05263157894737,0.0103659408741223,0.007517671888289,0.0723208870609516,0.114199767511496
"M14","F07","D1",1,8,8,8,7,"M","H",7.63157894736842,6.8421052631579,6.05263157894737,0.0237368026601859,0.00910779810518925,0.158647224735846,0.146417998389669
"M14","F08","D1",0,5,5,5,6,"M","L",5.68421052631579,8.36842105263158,9.52631578947369,0.0139556790136481,0.0131951213951655,-0.125003365471322,-0.111548327409926
"M14","F09","D1",1,8,8,8,8,"M","H",6.15789473684211,6.10526315789474,5.78947368421053,0.0210393531888768,0.0103550472098437,0.271405862160382,0.286688218180366
